bank,sub,clip_id,usa_payload_bytes,jp_payload_bytes,usa_frames,jp_frames,usa_seconds,jp_seconds,max_payload_bytes,max_seconds,max_subfile_bytes,max_region,max_header_patch,max_flag_patch
1512,14,8554,22784,25344,1424,1584,1.661333,1.848000,25344,1.848000,28672,jp,14:00;15:63;3d:6f;85:67;91:63;94:00;95:63;b0:40;b1:40,62e1:01;62f1:07
1512,15,8555,45952,37888,2872,2368,3.350667,2.762667,45952,3.350667,49152,usa,,b301:01;b311:07
1512,16,8556,12928,15232,808,952,0.942667,1.110667,15232,1.110667,18432,jp,15:3b;3d:43;85:3f;91:3b;95:3b;b0:40;b1:40,3b21:01;3b31:07
1512,17,8557,10112,9344,632,584,0.737333,0.681333,10112,0.737333,12288,usa,,2761:01;2771:07
1512,18,8558,14208,20992,888,1312,1.036000,1.530667,20992,1.530667,24576,jp,14:00;15:52;3d:5c;85:57;90:00;91:52;94:00;95:52;b0:40;b1:40,51b1:01;51c1:07
1512,19,8559,14976,18304,936,1144,1.092000,1.334667,18304,1.334667,20480,jp,15:47;3d:50;85:4b;91:47;95:47;b0:40;b1:40,4721:01;4731:07
1512,20,855a,23808,18560,1488,1160,1.736000,1.353333,23808,1.736000,26624,usa,,5c71:01;5c81:07
1512,21,855b,78976,82432,4936,5152,5.758667,6.010667,82432,6.010667,86016,jp,14:c0;15:41;3e:68;85:47;90:00;91:42;94:c0;95:41;b0:40;b1:40,14171:01;14181:07
1512,22,855c,29824,33152,1864,2072,2.174667,2.417333,33152,2.417333,36864,jp,15:81;3e:11;85:87;91:81;95:81;b0:40;b1:40,8101:01;8111:07
1512,23,855d,36480,40320,2280,2520,2.660000,2.940000,40320,2.940000,43008,jp,14:40;15:9d;3e:30;85:a3;91:9d;94:40;95:9d;b0:40;b1:40,9cf1:01;9d01:07
1512,24,855e,30080,29568,1880,1848,2.193333,2.156000,30080,2.193333,32768,usa,,7521:01;7531:07
1512,25,855f,62592,60288,3912,3768,4.564000,4.396000,62592,4.564000,65536,usa,,f451:01;f461:07
1512,26,8560,21120,29568,1320,1848,1.540000,2.156000,29568,2.156000,32768,jp,14:80;15:73;3d:81;3e:02;3f:7f;40:b0;41:00;42:7e;43:00;44:b0;45:00;46:7f;85:77;91:73;94:80;95:73;b0:40;b1:40,7341:01;7351:07
1512,27,8561,64512,69504,4032,4344,4.704000,5.068000,69504,5.068000,71680,jp,14:80;15:0f;16:01;3e:30;85:13;86:01;90:80;91:0f;92:01;94:80;95:0f;96:01;b0:40;b1:40,10f51:01;10f61:07
1512,28,8562,87552,92928,5472,5808,6.384000,6.776000,92928,6.776000,96256,jp,15:6a;3d:83;3e:16;85:6f;91:6b;95:6a;b0:40;b1:40,16a71:01;16a81:07
1512,29,8563,74240,73472,4640,4592,5.413333,5.357333,74240,5.413333,77824,usa,,12181:01;12191:07
1512,30,8564,39040,34176,2440,2136,2.846667,2.492000,39040,2.846667,43008,usa,,9851:01;9861:07
1512,31,8565,56448,55168,3528,3448,4.116000,4.022667,56448,4.116000,59392,usa,,dc61:01;dc71:07
1512,32,8566,75776,65920,4736,4120,5.525333,4.806667,75776,5.525333,77824,usa,,12771:01;12781:07
1512,33,8567,30336,36992,1896,2312,2.212000,2.697333,36992,2.697333,40960,jp,15:90;3e:22;85:97;91:90;95:90;b0:40;b1:40,9041:01;9051:07
1512,34,8568,22016,23424,1376,1464,1.605333,1.708000,23424,1.708000,26624,jp,14:40;15:5b;3d:66;85:5f;90:80;91:5b;94:40;95:5b;b0:40;b1:40,5af1:01;5b01:07
1512,35,8569,47872,48512,2992,3032,3.490667,3.537333,48512,3.537333,51200,jp,14:40;15:bd;3e:54;85:c3;90:80;91:bd;94:40;95:bd;b0:40;b1:40,bd01:01;bd11:07
1512,36,856a,75648,76672,4728,4792,5.516000,5.590667,76672,5.590667,79872,jp,15:2b;3e:4f;85:2f;91:2b;95:2b;b0:40;b1:40,12b51:01;12b61:07
1512,37,856b,56576,58752,3536,3672,4.125333,4.284000,58752,4.284000,61440,jp,14:80;15:e5;3d:82;3e:01;85:eb;90:80;91:e5;94:80;95:e5;b0:40;b1:40,e541:01;e551:07
1512,38,856c,93056,94592,5816,5912,6.785333,6.897333,94592,6.897333,98304,jp,15:71;3e:1e;85:77;91:71;95:71;b0:40;b1:40,17141:01;17151:07
